epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79921,0.86889,2.90406,1.61189,0.99463,0.98816,0.99443,0.86178,0.45638,1.13521,0.82779,0.0033156,0.0033156,0.0033156
2,19.3429,0.68727,2.56477,1.5043,0.98997,0.98111,0.99337,0.86122,0.44247,35.4701,0.83159,0.00661602,0.00661602,0.00661602
3,28.5559,0.69921,2.69424,1.51321,0.95923,0.97556,0.98715,0.86402,0.4206,465.905,0.81276,0.00988345,0.00988345,0.00988345
4,37.8071,0.72027,2.91775,1.52377,0.95034,0.9642,0.98543,0.85941,0.41652,579.275,0.81552,0.0098515,0.0098515,0.0098515
5,47.2225,0.72699,2.90288,1.53242,0.67237,0.94116,0.82324,0.69947,0.4733,5595.82,0.84149,0.009802,0.009802,0.009802
6,56.3584,0.7219,2.89811,1.521,0.6538,0.93603,0.85594,0.71589,0.51747,5816.28,0.85823,0.0097525,0.0097525,0.0097525
7,65.3454,0.72067,2.90623,1.52734,0.59541,0.93721,0.76468,0.65132,0.46235,7590.9,0.83364,0.009703,0.009703,0.009703
8,74.5293,0.72436,2.90511,1.52279,0.62188,0.9359,0.79849,0.6991,0.4183,6462.59,0.82104,0.0096535,0.0096535,0.0096535
9,84.1429,0.72255,2.89371,1.52951,0.61327,0.93706,0.80849,0.6948,0.47223,6088.64,0.8407,0.009604,0.009604,0.009604
10,93.3582,0.72227,2.9009,1.52761,0.60243,0.94019,0.79136,0.68898,0.42984,6951.53,0.81799,0.0095545,0.0095545,0.0095545
11,105.887,0.71958,2.89123,1.52132,0.57089,0.9371,0.77293,0.657,0.46892,7065.74,0.8228,0.009505,0.009505,0.009505
12,122.327,0.71474,2.87206,1.52638,0.64844,0.92318,0.8406,0.74231,0.3883,6371.11,0.81393,0.0094555,0.0094555,0.0094555
13,138.724,0.71454,2.87325,1.52557,0.61057,0.93099,0.79582,0.6932,0.42387,6240.64,0.81256,0.009406,0.009406,0.009406
14,155.23,0.70707,2.87203,1.51788,0.58405,0.92863,0.79758,0.6676,0.50548,7056.51,0.84786,0.0093565,0.0093565,0.0093565
15,171.705,0.70406,2.87017,1.51991,0.58042,0.94167,0.76819,0.65572,0.46335,7324.3,0.82908,0.009307,0.009307,0.009307
16,187.753,0.70131,2.83131,1.51364,0.57041,0.94169,0.72171,0.62276,0.43726,7555.06,0.81889,0.0092575,0.0092575,0.0092575
17,204.229,0.69846,2.85519,1.51388,0.58337,0.94708,0.79942,0.71786,0.34484,6571.48,0.79155,0.009208,0.009208,0.009208
18,221.118,0.69521,2.82407,1.51368,0.59917,0.93478,0.77073,0.6872,0.35341,7290.87,0.7914,0.0091585,0.0091585,0.0091585
19,240.543,0.68906,2.7881,1.51247,0.58513,0.94044,0.78215,0.71148,0.32703,6978.26,0.78805,0.009109,0.009109,0.009109
20,264.77,0.69103,2.82165,1.51011,0.56721,0.94428,0.7566,0.67795,0.35107,7611.3,0.79067,0.0090595,0.0090595,0.0090595
21,289.197,0.68706,2.79248,1.51558,0.57358,0.94202,0.74146,0.67486,0.31302,7394.36,0.78749,0.00901,0.00901,0.00901
22,313.053,0.68708,2.78607,1.51622,0.57184,0.94339,0.73761,0.66759,0.31963,7646.63,0.79099,0.0089605,0.0089605,0.0089605
23,337.122,0.68735,2.79691,1.52139,0.54909,0.95201,0.69613,0.61672,0.3838,7921.34,0.80199,0.008911,0.008911,0.008911
24,361.494,0.67982,2.75519,1.5164,0.59381,0.94751,0.73984,0.6745,0.31354,7451.17,0.78751,0.0088615,0.0088615,0.0088615
25,385.777,0.6831,2.78046,1.50931,0.59704,0.94273,0.75731,0.69089,0.30296,7699.66,0.78044,0.008812,0.008812,0.008812
26,410.003,0.68013,2.76822,1.51351,0.59218,0.93753,0.76146,0.72985,0.23427,7489.38,0.7736,0.0087625,0.0087625,0.0087625
27,434.308,0.67971,2.75108,1.51522,0.57515,0.94544,0.73602,0.69951,0.24917,7425.84,0.77219,0.008713,0.008713,0.008713
28,458.776,0.67492,2.75142,1.51097,0.58906,0.942,0.77859,0.68575,0.39998,7594.52,0.80879,0.0086635,0.0086635,0.0086635
29,483.05,0.67271,2.73785,1.51119,0.5764,0.94161,0.74544,0.70507,0.2544,7277.16,0.77333,0.008614,0.008614,0.008614
30,507.654,0.6712,2.72392,1.51063,0.56511,0.94896,0.76467,0.72227,0.2624,7881.52,0.77498,0.0085645,0.0085645,0.0085645
31,531.889,0.67735,2.75496,1.51514,0.57579,0.93543,0.75736,0.71426,0.26294,7362.68,0.77858,0.008515,0.008515,0.008515
32,556.171,0.6751,2.71687,1.51231,0.56677,0.94623,0.70562,0.66087,0.27236,7491.57,0.77356,0.0084655,0.0084655,0.0084655
33,580.583,0.67295,2.71756,1.50788,0.5942,0.92822,0.80367,0.68316,0.47659,7397.58,0.83836,0.008416,0.008416,0.008416
34,604.796,0.67371,2.74599,1.50833,0.60164,0.94427,0.77848,0.7339,0.25397,7152.91,0.77546,0.0083665,0.0083665,0.0083665
35,628.703,0.67736,2.75587,1.51426,0.57725,0.9421,0.77297,0.74673,0.22477,7344.05,0.76841,0.008317,0.008317,0.008317
36,652.654,0.6722,2.72792,1.50749,0.58717,0.95511,0.75571,0.72467,0.23101,7826.7,0.76726,0.0082675,0.0082675,0.0082675
37,676.705,0.6711,2.72561,1.50837,0.58221,0.94583,0.74393,0.71468,0.23041,7727.27,0.7708,0.008218,0.008218,0.008218
38,700.671,0.67155,2.71409,1.51185,0.58076,0.94599,0.79741,0.75475,0.25032,7513.37,0.77598,0.0081685,0.0081685,0.0081685
39,725.07,0.66913,2.70495,1.50718,0.57619,0.94466,0.768,0.72878,0.25134,7634.68,0.7685,0.008119,0.008119,0.008119
40,748.885,0.66813,2.69662,1.50729,0.58662,0.93917,0.78463,0.75029,0.24793,7434.23,0.77292,0.0080695,0.0080695,0.0080695
41,772.693,0.67183,2.70845,1.50775,0.57047,0.94953,0.76186,0.73693,0.22044,7680.95,0.76434,0.00802,0.00802,0.00802
42,797.029,0.66859,2.68721,1.50722,0.58186,0.94829,0.75887,0.73397,0.21402,7485.11,0.76639,0.0079705,0.0079705,0.0079705
43,820.56,0.66907,2.69524,1.50974,0.5681,0.94468,0.74349,0.71792,0.22053,7810.26,0.76623,0.007921,0.007921,0.007921
44,844.716,0.66385,2.69092,1.50582,0.5736,0.94431,0.75603,0.72727,0.23092,7380.72,0.76709,0.0078715,0.0078715,0.0078715
45,868.989,0.66506,2.66354,1.5035,0.55815,0.9424,0.73004,0.702,0.22765,7913.45,0.76494,0.007822,0.007822,0.007822
46,893.18,0.66923,2.6808,1.50416,0.58056,0.94125,0.7925,0.75591,0.24384,7602.63,0.76558,0.0077725,0.0077725,0.0077725
47,917.45,0.6601,2.65145,1.50292,0.56827,0.94971,0.74251,0.716,0.22001,7885.18,0.76957,0.007723,0.007723,0.007723
48,941.826,0.66833,2.70526,1.51018,0.58816,0.93774,0.75256,0.71025,0.25737,7595.89,0.7743,0.0076735,0.0076735,0.0076735
49,966.069,0.66336,2.66421,1.50441,0.59123,0.94385,0.78759,0.74761,0.248,7642.23,0.7719,0.007624,0.007624,0.007624
50,989.855,0.66259,2.6677,1.50089,0.60323,0.93552,0.80086,0.77501,0.21648,7373.04,0.7649,0.0075745,0.0075745,0.0075745
51,1013.77,0.6655,2.68617,1.50361,0.58536,0.94129,0.75404,0.72139,0.23558,7268.64,0.76828,0.007525,0.007525,0.007525
52,1037.54,0.65771,2.63745,1.50135,0.5876,0.94964,0.73514,0.70272,0.23662,7610.6,0.77204,0.0074755,0.0074755,0.0074755
53,1061.93,0.65579,2.61143,1.50154,0.59936,0.93122,0.80672,0.78044,0.21763,7558.35,0.76427,0.007426,0.007426,0.007426
54,1086.51,0.66397,2.63787,1.50444,0.55648,0.94184,0.73681,0.69859,0.25316,7829.21,0.76739,0.0073765,0.0073765,0.0073765
55,1110.41,0.66053,2.6417,1.50031,0.58895,0.94285,0.74851,0.72365,0.2208,7776.08,0.76798,0.007327,0.007327,0.007327
56,1134.17,0.66063,2.63102,1.50109,0.58727,0.94239,0.78259,0.75635,0.21903,7593.31,0.76995,0.0072775,0.0072775,0.0072775
57,1158,0.65887,2.62782,1.50078,0.56063,0.94771,0.71442,0.68455,0.23889,8016.99,0.76819,0.007228,0.007228,0.007228
58,1181.93,0.65439,2.62311,1.50255,0.56022,0.94926,0.7247,0.69696,0.23464,8129.86,0.77035,0.0071785,0.0071785,0.0071785
59,1205.69,0.65513,2.62613,1.50383,0.5724,0.95045,0.74713,0.7171,0.23441,7901.19,0.77302,0.007129,0.007129,0.007129
60,1229.76,0.66431,2.66916,1.50834,0.56683,0.94938,0.72084,0.69607,0.22536,7929.4,0.76953,0.0070795,0.0070795,0.0070795
61,1254.05,0.66089,2.5891,1.49717,0.57021,0.94949,0.75936,0.73453,0.21977,7960.56,0.76303,0.00703,0.00703,0.00703
62,1278.66,0.65916,2.62407,1.49982,0.56855,0.95279,0.74526,0.70339,0.25768,7763.93,0.77634,0.0069805,0.0069805,0.0069805
63,1302.91,0.66142,2.6317,1.50872,0.56611,0.95395,0.75406,0.72797,0.22384,7931.07,0.7681,0.006931,0.006931,0.006931
64,1327.03,0.66067,2.61701,1.50161,0.56469,0.95071,0.73505,0.71246,0.21814,7974.03,0.7664,0.0068815,0.0068815,0.0068815
65,1351.4,0.65957,2.63437,1.50098,0.5843,0.94655,0.77854,0.75047,0.22415,7566.79,0.76802,0.006832,0.006832,0.006832
66,1375.65,0.65631,2.62962,1.50365,0.57312,0.94833,0.76489,0.73462,0.23249,7918.03,0.76633,0.0067825,0.0067825,0.0067825
67,1399.8,0.65336,2.60269,1.49461,0.57479,0.94416,0.77576,0.73593,0.25008,7922.66,0.77035,0.006733,0.006733,0.006733
68,1423.68,0.65065,2.57258,1.50031,0.58724,0.94095,0.78711,0.76333,0.21482,7779.83,0.76399,0.0066835,0.0066835,0.0066835
69,1448.26,0.65271,2.60556,1.50112,0.57948,0.94176,0.78357,0.75875,0.218,7784.5,0.76598,0.006634,0.006634,0.006634
70,1472.55,0.65187,2.60654,1.50185,0.56621,0.94917,0.77432,0.75206,0.21529,8006.87,0.76502,0.0065845,0.0065845,0.0065845
71,1496.81,0.65049,2.56468,1.4935,0.57342,0.94637,0.75931,0.73614,0.21407,8046.85,0.76217,0.006535,0.006535,0.006535
72,1521.4,0.64976,2.56091,1.49606,0.56327,0.95606,0.74582,0.7248,0.21282,8032.1,0.76316,0.0064855,0.0064855,0.0064855
73,1545.51,0.64601,2.57605,1.49972,0.56975,0.95201,0.74275,0.72255,0.20765,7965.98,0.76566,0.006436,0.006436,0.006436
74,1569.83,0.65094,2.58793,1.49693,0.57353,0.94546,0.77711,0.75847,0.20009,7920.92,0.7622,0.0063865,0.0063865,0.0063865
75,1594.14,0.6527,2.58792,1.49487,0.56607,0.95141,0.78579,0.7648,0.20961,7994.22,0.76106,0.006337,0.006337,0.006337
