epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1408.79,0.53598,3.43389,1.29506,0.99091,0.97807,0.98966,0.94919,0.29107,1.77265,1.11211,0.00848078,0.00848078,0.00848078
43,1441.92,0.53632,3.46649,1.30028,0.98902,0.9798,0.98941,0.95148,0.28882,1.78737,1.10994,0.00841006,0.00841006,0.00841006
44,1474.87,0.53338,3.42333,1.29979,0.99094,0.97894,0.98934,0.95268,0.28613,1.78719,1.11054,0.00833805,0.00833805,0.00833805
45,1507.73,0.53539,3.43926,1.29968,0.99302,0.9779,0.98929,0.9559,0.28213,1.73502,1.10758,0.00826477,0.00826477,0.00826477
46,1540.77,0.53402,3.42232,1.30071,0.99458,0.97747,0.98961,0.95006,0.29444,1.76125,1.10914,0.00819025,0.00819025,0.00819025
47,1574.51,0.53246,3.40024,1.29746,0.99333,0.98151,0.98946,0.95386,0.29257,1.76076,1.1085,0.00811452,0.00811452,0.00811452
48,1607.94,0.53557,3.40781,1.29628,0.9918,0.98131,0.98976,0.9536,0.29114,1.74284,1.106,0.0080376,0.0080376,0.0080376
49,1641.11,0.53192,3.40729,1.29613,0.9933,0.97882,0.9895,0.95716,0.28143,1.69152,1.10554,0.00795954,0.00795954,0.00795954
50,1674.45,0.53055,3.39466,1.29679,0.99333,0.98006,0.9902,0.95403,0.29211,1.71598,1.10787,0.00788035,0.00788035,0.00788035
51,1707.47,0.52974,3.36339,1.28797,0.99286,0.98091,0.98964,0.95577,0.28368,1.71245,1.10537,0.00780007,0.00780007,0.00780007
52,1740.84,0.5282,3.35221,1.29499,0.99381,0.9785,0.98913,0.95319,0.27938,1.7109,1.10595,0.00771873,0.00771873,0.00771873
53,1774.12,0.53066,3.36154,1.29866,0.99447,0.981,0.98992,0.95538,0.27412,1.68817,1.10476,0.00763637,0.00763637,0.00763637
54,1807.86,0.5307,3.37261,1.29375,0.99457,0.98015,0.98963,0.95687,0.28103,1.70744,1.10166,0.007553,0.007553,0.007553
55,1841.61,0.5264,3.32586,1.29019,0.99259,0.981,0.98998,0.95532,0.28669,1.69451,1.10461,0.00746868,0.00746868,0.00746868
56,1875.61,0.52501,3.33264,1.29307,0.99238,0.98107,0.98957,0.95662,0.28128,1.68122,1.10244,0.00738341,0.00738341,0.00738341
57,1911.38,0.52196,3.29673,1.2879,0.99514,0.97973,0.98912,0.95859,0.27435,1.65174,1.09989,0.00729725,0.00729725,0.00729725
58,1948.49,0.523,3.30884,1.28883,0.99432,0.98099,0.98956,0.95669,0.26982,1.63646,1.09798,0.00721023,0.00721023,0.00721023
59,1982.79,0.52217,3.28049,1.28694,0.99329,0.98105,0.98934,0.95817,0.27091,1.63208,1.09888,0.00712237,0.00712237,0.00712237
60,2016.31,0.52306,3.29057,1.28739,0.99061,0.98175,0.98995,0.95943,0.26916,1.62974,1.09677,0.00703371,0.00703371,0.00703371
61,2049.15,0.52326,3.30017,1.29218,0.99265,0.98194,0.98987,0.95917,0.27358,1.63762,1.10007,0.00694428,0.00694428,0.00694428
62,2082.29,0.52102,3.27856,1.28553,0.99491,0.97966,0.98878,0.9599,0.26294,1.61076,1.09694,0.00685413,0.00685413,0.00685413
63,2115.77,0.52084,3.30443,1.28616,0.99379,0.9816,0.98957,0.95887,0.2667,1.62939,1.0975,0.00676328,0.00676328,0.00676328
64,2149.4,0.5183,3.26765,1.28405,0.99213,0.98069,0.9897,0.95638,0.26973,1.64506,1.09961,0.00667177,0.00667177,0.00667177
65,2182.76,0.52008,3.27694,1.28767,0.99472,0.97888,0.98964,0.95909,0.26669,1.62304,1.09786,0.00657963,0.00657963,0.00657963
66,2215.68,0.51714,3.26594,1.28412,0.99239,0.98077,0.98975,0.95875,0.26767,1.61524,1.09863,0.00648691,0.00648691,0.00648691
67,2249.47,0.51177,3.22248,1.28078,0.99183,0.98283,0.98968,0.96039,0.25986,1.59305,1.09581,0.00639363,0.00639363,0.00639363
68,2282.67,0.51361,3.25479,1.28494,0.99425,0.98252,0.98981,0.96065,0.26599,1.59051,1.09649,0.00629983,0.00629983,0.00629983
69,2316.17,0.51471,3.22736,1.28493,0.99538,0.98102,0.9893,0.95919,0.2626,1.57949,1.09425,0.00620555,0.00620555,0.00620555
70,2349.36,0.51126,3.25247,1.28087,0.99206,0.98233,0.98967,0.96003,0.26042,1.57365,1.09254,0.00611083,0.00611083,0.00611083
71,2382.7,0.51189,3.20888,1.2856,0.993,0.98265,0.99027,0.95848,0.26219,1.57085,1.09391,0.0060157,0.0060157,0.0060157
