epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4912,0.65653,3.15416,1.31635,0.99433,0.98824,0.99431,0.88479,0.28859,3.67603,0.63152,0.00332151,0.00332151,0.00332151
2,97.8726,0.51991,2.79712,1.22644,0.9899,0.98216,0.99379,0.88345,0.29489,31.4322,0.63317,0.00665421,0.00665421,0.00665421
3,146.602,0.53215,2.97554,1.23003,0.89681,0.96398,0.96093,0.84288,0.31511,1326.97,0.64188,0.00998437,0.00998437,0.00998437
4,194.786,0.55473,3.26926,1.24566,0.70513,0.93559,0.86894,0.78961,0.24053,4670.64,0.62422,0.00999141,0.00999141,0.00999141
5,242.216,0.55657,3.28664,1.24573,0.58458,0.92946,0.74358,0.65914,0.28492,7973.04,0.62913,0.00998474,0.00998474,0.00998474
6,290.195,0.55551,3.30253,1.24491,0.58474,0.91675,0.7699,0.65622,0.35154,7604.13,0.65257,0.00997616,0.00997616,0.00997616
7,338.255,0.55303,3.28414,1.2436,0.57352,0.9242,0.71931,0.62452,0.33168,7571.54,0.65277,0.00996569,0.00996569,0.00996569
8,385.881,0.55684,3.27499,1.24628,0.55527,0.93278,0.71174,0.59821,0.37164,8149.54,0.66998,0.00995332,0.00995332,0.00995332
9,433.868,0.55522,3.30715,1.24657,0.55406,0.9358,0.69851,0.60176,0.34267,8950.33,0.65276,0.00993906,0.00993906,0.00993906
10,481.644,0.55152,3.26246,1.24534,0.58674,0.93101,0.74164,0.65977,0.28135,7891.43,0.63076,0.00992291,0.00992291,0.00992291
11,529.851,0.54797,3.23899,1.24613,0.58819,0.93159,0.76088,0.64268,0.3623,7882.26,0.66039,0.00990489,0.00990489,0.00990489
12,578.193,0.54536,3.24229,1.23954,0.5484,0.94236,0.68915,0.59542,0.33628,8457.77,0.65245,0.00988499,0.00988499,0.00988499
13,626.264,0.54104,3.23597,1.24307,0.58643,0.91759,0.77461,0.68126,0.29237,8455.5,0.63917,0.00986323,0.00986323,0.00986323
14,674.42,0.53648,3.23687,1.2408,0.58057,0.92401,0.76967,0.64579,0.37529,8016.13,0.67594,0.00983962,0.00983962,0.00983962
15,722.159,0.53398,3.22162,1.24085,0.55924,0.94304,0.72827,0.6605,0.2422,8494.4,0.62229,0.00981415,0.00981415,0.00981415
