epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4009,1.4702,3.41327,1.97348,0.99073,0.98481,0.99336,0.53657,1.1529,1.79073,1.03186,0.0033156,0.0033156,0.0033156
2,32.6943,1.11959,2.90502,1.48036,0.9893,0.98274,0.99219,0.56926,1.03248,49.2146,0.96332,0.00661602,0.00661602,0.00661602
3,48.9776,0.99636,2.82595,1.41829,0.9148,0.95456,0.98032,0.65523,0.8183,742.105,0.83365,0.00988345,0.00988345,0.00988345
4,64.917,0.93287,2.84966,1.38724,0.88641,0.92822,0.96743,0.83047,0.38341,1381.35,0.6604,0.0098515,0.0098515,0.0098515
5,80.7592,0.91707,2.81049,1.39025,0.74311,0.92009,0.91164,0.78246,0.38077,2620.96,0.66896,0.009802,0.009802,0.009802
6,96.6209,0.90461,2.75395,1.37606,0.62639,0.92464,0.84471,0.58838,0.71627,4024.08,0.81042,0.0097525,0.0097525,0.0097525
7,113.044,0.89098,2.74682,1.37241,0.61471,0.91958,0.83681,0.61193,0.65493,3958.83,0.76752,0.009703,0.009703,0.009703
8,129.144,0.86964,2.72246,1.37104,0.63477,0.93302,0.82956,0.72612,0.34705,3884.58,0.65671,0.0096535,0.0096535,0.0096535
9,152.704,0.88884,2.73769,1.37107,0.69268,0.91856,0.86426,0.77343,0.3197,2994.37,0.64932,0.009604,0.009604,0.009604
10,178.122,0.8695,2.71223,1.36335,0.74089,0.92026,0.92162,0.84147,0.28202,3001.12,0.63548,0.0095545,0.0095545,0.0095545
11,201.673,0.864,2.7008,1.36329,0.57628,0.92784,0.78148,0.58766,0.6108,4368.47,0.74536,0.009505,0.009505,0.009505
12,225.885,0.85398,2.66779,1.35648,0.65488,0.92403,0.83995,0.75751,0.30481,4270.12,0.64075,0.0094555,0.0094555,0.0094555
13,252.306,0.85767,2.69218,1.35811,0.6655,0.91529,0.82066,0.7491,0.27551,3706.97,0.64654,0.009406,0.009406,0.009406
14,278.223,0.85311,2.67382,1.35541,0.60698,0.92094,0.79021,0.72552,0.27266,4495.27,0.63243,0.0093565,0.0093565,0.0093565
15,304.513,0.85567,2.68055,1.35056,0.55905,0.94319,0.69961,0.42622,0.86592,5745.84,0.94015,0.009307,0.009307,0.009307
16,328.363,0.84687,2.63829,1.34554,0.61134,0.923,0.82195,0.64698,0.55175,4459.65,0.72201,0.0092575,0.0092575,0.0092575
17,352.599,0.84347,2.64322,1.35308,0.76811,0.94695,0.91662,0.8394,0.27049,2032.79,0.64318,0.009208,0.009208,0.009208
