epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6808,0.86889,2.90406,1.61189,0.99463,0.98816,0.99443,0.86178,0.45638,1.13521,0.82779,0.0033156,0.0033156,0.0033156
2,58.6498,0.68727,2.55273,1.50134,0.99307,0.98338,0.99387,0.8478,0.47655,7.08927,0.83236,0.00664853,0.00664853,0.00664853
3,90.8745,0.70088,2.69516,1.51368,0.88981,0.95802,0.96346,0.84001,0.43088,1403.6,0.82054,0.00997983,0.00997983,0.00997983
4,122.979,0.72165,2.92326,1.52774,0.91397,0.9482,0.96872,0.84384,0.43012,1041.5,0.81502,0.0099945,0.0099945,0.0099945
5,155.247,0.72835,2.92389,1.53316,0.65294,0.93092,0.82258,0.69542,0.48802,5286.02,0.84782,0.00999023,0.00999023,0.00999023
6,187.217,0.72332,2.91213,1.52171,0.60676,0.94108,0.78334,0.65778,0.50255,6060.88,0.83881,0.00998474,0.00998474,0.00998474
7,219.795,0.72506,2.9299,1.52624,0.63295,0.93648,0.77202,0.65846,0.46557,6140.9,0.82497,0.00997803,0.00997803,0.00997803
8,252.247,0.72646,2.94019,1.52222,0.58373,0.93538,0.74749,0.65821,0.40233,7131.38,0.80963,0.00997011,0.00997011,0.00997011
9,284.063,0.72497,2.9122,1.52867,0.57395,0.94791,0.71424,0.6017,0.4933,7326.45,0.83538,0.00996097,0.00996097,0.00996097
10,316.155,0.72426,2.9183,1.52852,0.62618,0.92153,0.82732,0.68309,0.53811,6908.76,0.84788,0.00995062,0.00995062,0.00995062
11,348.341,0.72131,2.9154,1.52584,0.58326,0.926,0.77715,0.67851,0.40994,6708.54,0.81412,0.00993906,0.00993906,0.00993906
12,380.549,0.72147,2.89941,1.52581,0.5809,0.93568,0.75626,0.65824,0.43151,7294.35,0.82138,0.00992629,0.00992629,0.00992629
13,412.845,0.72073,2.91087,1.52981,0.57382,0.94501,0.72553,0.63081,0.43254,7082.93,0.82091,0.00991232,0.00991232,0.00991232
14,445.112,0.71486,2.91317,1.52113,0.60012,0.93211,0.79491,0.67272,0.47904,7110.89,0.84623,0.00989715,0.00989715,0.00989715
15,477.476,0.71424,2.90423,1.52942,0.58321,0.93791,0.76625,0.66295,0.43496,7245.97,0.84194,0.00988079,0.00988079,0.00988079
16,509.579,0.71164,2.87247,1.52799,0.62275,0.92983,0.81724,0.68659,0.47986,7064.47,0.84548,0.00986323,0.00986323,0.00986323
17,542.087,0.70671,2.8802,1.52442,0.59639,0.93443,0.80248,0.67304,0.48371,7000.06,0.84616,0.00984449,0.00984449,0.00984449
18,574.66,0.7025,2.8767,1.52468,0.58094,0.93774,0.77682,0.68108,0.39916,7082.88,0.81683,0.00982456,0.00982456,0.00982456
19,606.825,0.69366,2.82513,1.52075,0.59269,0.9425,0.75316,0.65579,0.41361,7381.86,0.8089,0.00980345,0.00980345,0.00980345
20,639.239,0.70186,2.84713,1.5196,0.57932,0.93455,0.75231,0.6741,0.35593,7442.03,0.80297,0.00978118,0.00978118,0.00978118
21,671.55,0.69845,2.83966,1.51963,0.59852,0.93834,0.78535,0.66619,0.46584,6870.7,0.84284,0.00975773,0.00975773,0.00975773
22,703.984,0.69352,2.83377,1.52133,0.62007,0.94104,0.81021,0.72266,0.36094,7334.19,0.7969,0.00973312,0.00973312,0.00973312
23,736.043,0.69931,2.83656,1.52202,0.5954,0.94303,0.76971,0.63017,0.55516,6878.05,0.88112,0.00970736,0.00970736,0.00970736
24,768.664,0.68844,2.81184,1.51492,0.60968,0.93968,0.77165,0.69841,0.33186,7162.31,0.78706,0.00968045,0.00968045,0.00968045
