epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,977.24,0.57159,3.08092,1.20819,0.57691,0.94773,0.74631,0.68801,0.23985,8744.48,0.62314,0.007921,0.007921,0.007921
44,1001.36,0.56492,3.0585,1.20879,0.57669,0.94636,0.77043,0.71321,0.24258,8321.41,0.62727,0.0078715,0.0078715,0.0078715
45,1025.19,0.56462,3.04153,1.20644,0.58273,0.94609,0.74106,0.68251,0.24865,8707.09,0.62855,0.007822,0.007822,0.007822
46,1048.93,0.56804,3.06792,1.20733,0.58526,0.93876,0.75084,0.70274,0.22709,8458.27,0.62039,0.0077725,0.0077725,0.0077725
47,1072.93,0.5607,3.04218,1.20455,0.59556,0.94397,0.76809,0.70433,0.2583,8810.36,0.62627,0.007723,0.007723,0.007723
48,1096.92,0.56878,3.07878,1.20895,0.58724,0.93745,0.75415,0.72241,0.19839,8361.56,0.61712,0.0076735,0.0076735,0.0076735
49,1120.82,0.56377,3.03998,1.20799,0.58813,0.93585,0.77759,0.71185,0.25731,8430.84,0.62744,0.007624,0.007624,0.007624
50,1144.88,0.56306,3.04254,1.2062,0.57331,0.93274,0.78835,0.72038,0.2659,8579.16,0.62757,0.0075745,0.0075745,0.0075745
51,1169.43,0.56801,3.08063,1.20729,0.60442,0.94089,0.80369,0.76588,0.2054,8002.43,0.61671,0.007525,0.007525,0.007525
52,1193.63,0.56306,3.02354,1.20281,0.6058,0.93613,0.79244,0.71914,0.26658,8441.73,0.62618,0.0074755,0.0074755,0.0074755
53,1217.92,0.56083,3.01531,1.20166,0.61604,0.94029,0.82143,0.76907,0.22847,8355.4,0.61705,0.007426,0.007426,0.007426
54,1242.45,0.56639,3.0392,1.20705,0.58777,0.94277,0.78468,0.72465,0.24161,8508.92,0.62253,0.0073765,0.0073765,0.0073765
55,1266.7,0.56069,3.01424,1.20271,0.58564,0.94373,0.77129,0.74048,0.19512,8638.7,0.61434,0.007327,0.007327,0.007327
56,1290.91,0.56594,3.01603,1.20929,0.57525,0.93899,0.77019,0.74002,0.19117,8481.43,0.61596,0.0072775,0.0072775,0.0072775
57,1315.46,0.55843,3.00368,1.20545,0.595,0.94085,0.77795,0.71976,0.24475,8419.9,0.62458,0.007228,0.007228,0.007228
58,1339.68,0.555,2.98914,1.20597,0.56499,0.94672,0.74223,0.71344,0.19752,9012.5,0.61532,0.0071785,0.0071785,0.0071785
59,1364.09,0.55818,2.98137,1.20214,0.58102,0.93994,0.76376,0.72644,0.20679,8922.52,0.61669,0.007129,0.007129,0.007129
60,1388.38,0.56236,3.02239,1.20933,0.56216,0.94464,0.74797,0.69681,0.23702,9003.13,0.62252,0.0070795,0.0070795,0.0070795
61,1412.44,0.55663,2.94302,1.20189,0.58325,0.94233,0.77861,0.74307,0.20288,8676.6,0.61499,0.00703,0.00703,0.00703
62,1436.92,0.56169,3.0237,1.20266,0.5901,0.94188,0.79493,0.7584,0.20235,8802.66,0.61321,0.0069805,0.0069805,0.0069805
63,1461.34,0.56194,3.00745,1.20707,0.56982,0.94115,0.75982,0.71761,0.21614,8859.52,0.6163,0.006931,0.006931,0.006931
64,1485.52,0.55881,2.98738,1.20209,0.57573,0.9464,0.74849,0.71975,0.19282,9048.05,0.61193,0.0068815,0.0068815,0.0068815
65,1509.94,0.55636,2.96998,1.20003,0.58507,0.93586,0.80739,0.78009,0.18835,8507.42,0.61147,0.006832,0.006832,0.006832
66,1534.11,0.55438,2.98296,1.20156,0.59837,0.94212,0.7911,0.75588,0.20376,8703.58,0.61472,0.0067825,0.0067825,0.0067825
67,1558.37,0.55652,2.95584,1.20056,0.56725,0.9472,0.74452,0.70466,0.2114,8768.05,0.61613,0.006733,0.006733,0.006733
68,1582.9,0.5567,2.95246,1.20138,0.59146,0.94317,0.80837,0.75797,0.22394,8461.98,0.61818,0.0066835,0.0066835,0.0066835
69,1606.99,0.55496,2.96596,1.20162,0.58617,0.93936,0.79136,0.7534,0.20676,8535.87,0.61473,0.006634,0.006634,0.006634
70,1631.23,0.55557,2.9727,1.20849,0.57691,0.94421,0.7798,0.74414,0.20255,8825.81,0.61483,0.0065845,0.0065845,0.0065845
71,1655.29,0.55459,2.93059,1.20099,0.5762,0.94209,0.78271,0.75881,0.18046,8826.25,0.61051,0.006535,0.006535,0.006535
72,1679.67,0.55384,2.95595,1.19915,0.57689,0.93849,0.76955,0.74241,0.18396,8917.24,0.60976,0.0064855,0.0064855,0.0064855
73,1703.88,0.5461,2.92277,1.20012,0.58337,0.94864,0.78467,0.75506,0.19255,8742.88,0.61297,0.006436,0.006436,0.006436
74,1728.05,0.55244,2.93473,1.20507,0.57804,0.94116,0.77917,0.73975,0.21178,8859.46,0.61769,0.0063865,0.0063865,0.0063865
75,1751.85,0.55389,2.93554,1.20205,0.59314,0.94089,0.81257,0.77576,0.20384,8737.68,0.6148,0.006337,0.006337,0.006337
76,1775.7,0.54964,2.93131,1.2005,0.58705,0.94753,0.78771,0.75664,0.19121,8831.01,0.61424,0.0062875,0.0062875,0.0062875
77,1799.79,0.55224,2.93828,1.20232,0.58501,0.94446,0.79626,0.76348,0.19664,8797.82,0.61363,0.006238,0.006238,0.006238
78,1823.45,0.5558,2.9523,1.20643,0.57898,0.94513,0.77753,0.73858,0.21,8812.52,0.61881,0.0061885,0.0061885,0.0061885
79,1847.1,0.54368,2.87926,1.20092,0.57638,0.9432,0.76778,0.73297,0.20176,9096.8,0.61619,0.006139,0.006139,0.006139
80,1870.73,0.54989,2.932,1.20153,0.56506,0.95054,0.7621,0.72375,0.211,9075.96,0.61703,0.0060895,0.0060895,0.0060895
81,1894.28,0.55112,2.91981,1.20235,0.5718,0.9452,0.7544,0.72318,0.20075,8992.54,0.61503,0.00604,0.00604,0.00604
