epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2575,1.02079,2.19737,1.31321,0.99137,0.98549,0.99373,0.86764,0.5106,4.63679,0.64561,0.00332151,0.00332151,0.00332151
2,67.5989,0.84537,1.9891,1.23775,0.98225,0.9841,0.99234,0.86914,0.50465,72.9557,0.64615,0.00665421,0.00665421,0.00665421
3,102.935,0.86427,2.10561,1.24623,0.91512,0.96302,0.96532,0.84289,0.50485,784.991,0.64588,0.00998437,0.00998437,0.00998437
4,138.387,0.88814,2.2532,1.25372,0.62254,0.94081,0.77632,0.67165,0.5357,4464.11,0.64895,0.00999141,0.00999141,0.00999141
5,173.871,0.89055,2.27695,1.25727,0.60117,0.93312,0.77694,0.67518,0.50779,4236.09,0.65329,0.00998474,0.00998474,0.00998474
6,209.105,0.88313,2.267,1.25565,0.58671,0.93067,0.7795,0.67968,0.49433,5127.52,0.64574,0.00997616,0.00997616,0.00997616
7,244.636,0.86881,2.24328,1.25079,0.59686,0.93643,0.73368,0.62333,0.55475,4828.74,0.6576,0.00996569,0.00996569,0.00996569
8,280.181,0.86172,2.2434,1.25463,0.58078,0.93406,0.74978,0.69449,0.33662,5284.42,0.61035,0.00995332,0.00995332,0.00995332
9,315.633,0.85568,2.24943,1.25044,0.57748,0.93301,0.74886,0.69579,0.32767,5425.33,0.61063,0.00993906,0.00993906,0.00993906
10,351.16,0.84889,2.20766,1.24745,0.55617,0.94806,0.75119,0.71369,0.29493,5561.86,0.6048,0.00992291,0.00992291,0.00992291
11,386.547,0.83942,2.1971,1.24297,0.56616,0.93681,0.72351,0.69386,0.26874,5495.6,0.59829,0.00990489,0.00990489,0.00990489
12,422.126,0.84383,2.20249,1.24656,0.58572,0.93497,0.76924,0.71282,0.34036,5523.83,0.61371,0.00988499,0.00988499,0.00988499
13,457.337,0.84013,2.19241,1.24578,0.57946,0.93291,0.77896,0.74895,0.26236,5408.71,0.59801,0.00986323,0.00986323,0.00986323
14,492.807,0.83539,2.17959,1.24453,0.58476,0.93769,0.75207,0.69912,0.32888,5385.56,0.60566,0.00983962,0.00983962,0.00983962
15,528.437,0.84025,2.19651,1.25082,0.60792,0.93392,0.78666,0.75969,0.25795,5218.72,0.59754,0.00981415,0.00981415,0.00981415
16,563.941,0.832,2.17447,1.24677,0.5556,0.94624,0.68278,0.60995,0.41459,5828.88,0.62082,0.00978685,0.00978685,0.00978685
17,599.125,0.83559,2.18137,1.24445,0.56715,0.93961,0.7271,0.69809,0.26448,5617.08,0.59869,0.00975773,0.00975773,0.00975773
18,634.527,0.82788,2.15124,1.2423,0.56511,0.93406,0.73813,0.67253,0.36344,5764.07,0.61493,0.00972679,0.00972679,0.00972679
19,670.009,0.82345,2.15412,1.24136,0.56092,0.92893,0.70082,0.66342,0.30165,5692.18,0.60656,0.00969405,0.00969405,0.00969405
20,705.291,0.82217,2.14605,1.24128,0.58064,0.93658,0.74456,0.69949,0.30824,5645.64,0.60419,0.00965951,0.00965951,0.00965951
21,740.664,0.83182,2.15077,1.24308,0.56748,0.93495,0.74811,0.72371,0.25288,5493.73,0.59824,0.0096232,0.0096232,0.0096232
22,776.134,0.82905,2.14888,1.24033,0.55925,0.93637,0.6857,0.65006,0.29873,5671.11,0.60201,0.00958513,0.00958513,0.00958513
23,811.338,0.82848,2.1566,1.24332,0.55854,0.94547,0.67443,0.63418,0.30625,5895,0.60505,0.00954531,0.00954531,0.00954531
24,846.746,0.81844,2.12791,1.24107,0.56109,0.94493,0.72705,0.70696,0.23636,5934.04,0.59213,0.00950375,0.00950375,0.00950375
25,882.171,0.8225,2.14329,1.24051,0.55684,0.93452,0.72449,0.70503,0.23191,5704.95,0.58968,0.00946048,0.00946048,0.00946048
26,917.716,0.81566,2.1214,1.23733,0.56786,0.93834,0.69161,0.66569,0.25879,5633.59,0.59627,0.00941551,0.00941551,0.00941551
27,953.103,0.82115,2.13878,1.23963,0.56784,0.94155,0.72436,0.69721,0.26578,5732.92,0.59728,0.00936886,0.00936886,0.00936886
28,988.421,0.82018,2.11732,1.23909,0.55736,0.94399,0.7303,0.71165,0.22819,5937.95,0.59096,0.00932054,0.00932054,0.00932054
29,1023.69,0.81828,2.1109,1.23754,0.54341,0.94135,0.70421,0.68205,0.24971,6034.8,0.59447,0.00927057,0.00927057,0.00927057
30,1059.22,0.81779,2.12192,1.23914,0.55395,0.94854,0.73502,0.71194,0.24858,6137.22,0.59348,0.00921898,0.00921898,0.00921898
31,1094.78,0.81171,2.09381,1.23612,0.56455,0.94164,0.74425,0.70945,0.2799,5986.18,0.59754,0.00916577,0.00916577,0.00916577
32,1130.28,0.81533,2.10471,1.23845,0.56364,0.93865,0.71776,0.69412,0.25334,5831.99,0.59417,0.00911099,0.00911099,0.00911099
33,1165.49,0.81723,2.10343,1.23678,0.55781,0.94445,0.70258,0.68322,0.24027,6000.63,0.59265,0.00905463,0.00905463,0.00905463
34,1200.84,0.80835,2.08197,1.23365,0.55647,0.94214,0.69104,0.67341,0.23358,6181.89,0.59375,0.00899674,0.00899674,0.00899674
