epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9819,1.09644,2.6845,1.41744,0.98232,0.97218,0.98762,0.86523,0.90273,1.58329,1.2232,0.00332151,0.00332151,0.00332151
2,48.3848,0.86629,2.25567,1.30534,0.9862,0.97661,0.98774,0.87829,0.84814,1.51117,1.20166,0.00665421,0.00665421,0.00665421
3,81.678,0.87985,2.33292,1.31059,0.9883,0.96934,0.98703,0.89448,0.70922,1.49379,1.16778,0.00998437,0.00998437,0.00998437
4,115.968,0.90222,2.48475,1.31635,0.99545,0.96804,0.98743,0.81926,1.13954,1.89501,1.29656,0.00999141,0.00999141,0.00999141
5,150.075,0.89902,2.49248,1.31962,0.99347,0.97239,0.9886,0.87803,0.82562,1.56863,1.19951,0.00998474,0.00998474,0.00998474
6,183.351,0.89606,2.48158,1.31705,0.99458,0.96983,0.98788,0.83473,1.07049,1.80096,1.27182,0.00997616,0.00997616,0.00997616
7,216.935,0.87779,2.44807,1.31338,0.99076,0.97113,0.98813,0.90114,0.65574,1.5316,1.16163,0.00996569,0.00996569,0.00996569
8,250.087,0.87177,2.46641,1.31832,0.98576,0.97512,0.98853,0.92639,0.57706,1.41286,1.13944,0.00995332,0.00995332,0.00995332
9,283.618,0.85685,2.42804,1.31195,0.98523,0.97446,0.98659,0.92092,0.57587,1.43392,1.13744,0.00993906,0.00993906,0.00993906
10,317.175,0.85376,2.41083,1.30757,0.99374,0.97223,0.98863,0.88203,0.7851,1.52366,1.18565,0.00992291,0.00992291,0.00992291
11,350.555,0.84512,2.3754,1.30285,0.99046,0.97357,0.98808,0.93784,0.52653,1.34832,1.12919,0.00990489,0.00990489,0.00990489
12,383.893,0.84842,2.38936,1.30306,0.99235,0.97453,0.98824,0.94464,0.49525,1.27903,1.11796,0.00988499,0.00988499,0.00988499
13,417.372,0.84575,2.38331,1.30331,0.99283,0.97525,0.9883,0.9388,0.51094,1.28956,1.12503,0.00986323,0.00986323,0.00986323
14,451.098,0.83976,2.36031,1.30155,0.98798,0.97266,0.98903,0.881,0.77952,1.53968,1.18957,0.00983962,0.00983962,0.00983962
15,484.56,0.8444,2.38258,1.30833,0.98537,0.97942,0.98873,0.91602,0.60173,1.35241,1.14101,0.00981415,0.00981415,0.00981415
16,517.887,0.83709,2.34539,1.29981,0.9904,0.9753,0.9889,0.94601,0.4617,1.27971,1.11511,0.00978685,0.00978685,0.00978685
17,551.565,0.83209,2.33711,1.29848,0.99372,0.97387,0.98921,0.94144,0.46992,1.25351,1.11382,0.00975773,0.00975773,0.00975773
18,585.519,0.82789,2.31338,1.29113,0.99092,0.97703,0.98953,0.94725,0.49292,1.25602,1.11691,0.00972679,0.00972679,0.00972679
19,618.597,0.82706,2.31195,1.29698,0.99376,0.9767,0.98988,0.95025,0.44755,1.23857,1.11187,0.00969405,0.00969405,0.00969405
20,652.398,0.82263,2.3163,1.29324,0.99262,0.97737,0.98962,0.92881,0.5739,1.30783,1.13321,0.00965951,0.00965951,0.00965951
21,685.962,0.82137,2.29823,1.29381,0.99402,0.97822,0.98873,0.93502,0.53848,1.30193,1.12637,0.0096232,0.0096232,0.0096232
22,719.46,0.82375,2.28418,1.29361,0.98995,0.97662,0.9896,0.94835,0.47872,1.23018,1.11302,0.00958513,0.00958513,0.00958513
23,753.249,0.82892,2.33931,1.29944,0.98917,0.97845,0.98892,0.94531,0.48744,1.24121,1.11853,0.00954531,0.00954531,0.00954531
24,786.808,0.82292,2.27397,1.29567,0.99181,0.9787,0.9888,0.94787,0.45474,1.196,1.11146,0.00950375,0.00950375,0.00950375
25,820.637,0.82508,2.31698,1.29982,0.99367,0.97212,0.98884,0.9507,0.45131,1.1906,1.10987,0.00946048,0.00946048,0.00946048
26,854.045,0.82097,2.29114,1.29207,0.99537,0.97244,0.98871,0.94839,0.46694,1.18612,1.11391,0.00941551,0.00941551,0.00941551
27,888.056,0.81507,2.2771,1.29199,0.98902,0.97592,0.98894,0.94751,0.46456,1.24322,1.11526,0.00936886,0.00936886,0.00936886
28,921.326,0.82089,2.29228,1.29472,0.99209,0.97712,0.98936,0.95019,0.44698,1.18428,1.10892,0.00932054,0.00932054,0.00932054
29,954.386,0.81309,2.26668,1.28956,0.99085,0.97826,0.98868,0.94354,0.45746,1.22076,1.10999,0.00927057,0.00927057,0.00927057
