epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.883,0.82535,2.77597,1.63223,0.99298,0.98636,0.9942,0.87611,0.39672,1.17695,0.7985,0.00332151,0.00332151,0.00332151
2,94.7151,0.6673,2.49124,1.52821,0.98874,0.98043,0.9931,0.89647,0.33155,88.7112,0.77558,0.00665421,0.00665421,0.00665421
3,143.686,0.68404,2.65398,1.54208,0.82355,0.94243,0.92266,0.80181,0.42322,2393.13,0.8093,0.00998437,0.00998437,0.00998437
4,192.545,0.70834,2.88984,1.55341,0.60643,0.93762,0.76885,0.68461,0.36201,6213.86,0.793,0.00999141,0.00999141,0.00999141
5,240.381,0.70961,2.90428,1.56164,0.55222,0.94125,0.7174,0.6259,0.41575,7452.52,0.81263,0.00998474,0.00998474,0.00998474
6,287.814,0.71018,2.94457,1.55558,0.54912,0.94485,0.6975,0.60944,0.40303,7371.7,0.79797,0.00997616,0.00997616,0.00997616
7,335.655,0.70517,2.90196,1.54709,0.53951,0.93303,0.64937,0.56255,0.42967,7368.24,0.81288,0.00996569,0.00996569,0.00996569
8,383.379,0.70384,2.88902,1.55227,0.59333,0.91616,0.78127,0.64823,0.50449,6869.37,0.83516,0.00995332,0.00995332,0.00995332
9,431.566,0.6929,2.8761,1.54439,0.58971,0.92614,0.77452,0.70815,0.30613,6916.02,0.77575,0.00993906,0.00993906,0.00993906
10,479.212,0.6862,2.83705,1.54702,0.60476,0.9167,0.78736,0.7317,0.28277,6435.88,0.76722,0.00992291,0.00992291,0.00992291
11,526.747,0.68147,2.8457,1.54636,0.56366,0.92765,0.70366,0.61734,0.38098,6860.94,0.79741,0.00990489,0.00990489,0.00990489
12,574.29,0.6778,2.8406,1.54063,0.5875,0.92209,0.75476,0.72408,0.21356,6437.97,0.74767,0.00988499,0.00988499,0.00988499
13,622.116,0.6769,2.82553,1.54186,0.59688,0.92285,0.77921,0.73035,0.25602,7276.21,0.75471,0.00986323,0.00986323,0.00986323
14,669.735,0.67315,2.81866,1.54063,0.63323,0.919,0.8318,0.78275,0.24961,5786.64,0.75614,0.00983962,0.00983962,0.00983962
15,717.242,0.67111,2.80727,1.54397,0.57217,0.93304,0.72234,0.69349,0.2196,7103.48,0.74622,0.00981415,0.00981415,0.00981415
16,765.083,0.66989,2.79929,1.53886,0.57583,0.9368,0.74749,0.65006,0.40439,7025.65,0.80427,0.00978685,0.00978685,0.00978685
17,812.79,0.66394,2.78037,1.53463,0.55623,0.93572,0.69978,0.65108,0.27068,7547.17,0.75956,0.00975773,0.00975773,0.00975773
18,860.55,0.66254,2.75006,1.53249,0.55253,0.94265,0.69171,0.63665,0.28778,7778.18,0.76627,0.00972679,0.00972679,0.00972679
19,908.214,0.66269,2.75877,1.53638,0.53138,0.95334,0.68335,0.60486,0.36986,8024.67,0.78632,0.00969405,0.00969405,0.00969405
20,955.788,0.6608,2.7725,1.53621,0.59326,0.93743,0.75667,0.71634,0.24068,7401.7,0.75204,0.00965951,0.00965951,0.00965951
21,1003.69,0.65934,2.75145,1.53423,0.57828,0.93598,0.73911,0.70072,0.23947,7240.85,0.74937,0.0096232,0.0096232,0.0096232
22,1051.51,0.66336,2.77474,1.53972,0.55696,0.92968,0.73759,0.69962,0.24244,7534.41,0.75117,0.00958513,0.00958513,0.00958513
23,1099.17,0.66013,2.74716,1.53623,0.56368,0.93669,0.73609,0.7006,0.23366,7809.77,0.75332,0.00954531,0.00954531,0.00954531
24,1147.38,0.66,2.75475,1.52917,0.57351,0.93669,0.73168,0.70696,0.20491,7214.85,0.74137,0.00950375,0.00950375,0.00950375
25,1195.04,0.65933,2.7539,1.53528,0.57618,0.93299,0.78053,0.73186,0.25925,7635.4,0.75133,0.00946048,0.00946048,0.00946048
26,1242.67,0.6596,2.75311,1.53009,0.56791,0.92915,0.75541,0.71478,0.24542,7662.13,0.75265,0.00941551,0.00941551,0.00941551
27,1290.34,0.6568,2.72974,1.53222,0.56224,0.9382,0.74623,0.72038,0.21595,7357.28,0.74457,0.00936886,0.00936886,0.00936886
28,1338.13,0.65612,2.7604,1.53554,0.56105,0.92993,0.73767,0.71151,0.22253,7959.28,0.74549,0.00932054,0.00932054,0.00932054
29,1386.21,0.65171,2.71717,1.52833,0.57869,0.93415,0.7333,0.69605,0.24408,7562.02,0.75222,0.00927057,0.00927057,0.00927057
30,1434.06,0.65438,2.73325,1.53774,0.56395,0.92993,0.77393,0.74982,0.19525,7360,0.74325,0.00921898,0.00921898,0.00921898
31,1482.06,0.64859,2.68602,1.53096,0.54592,0.93739,0.70012,0.68108,0.18938,7998.37,0.73915,0.00916577,0.00916577,0.00916577
32,1529.45,0.65268,2.71775,1.53178,0.55523,0.94084,0.694,0.67605,0.18481,8005.23,0.73637,0.00911099,0.00911099,0.00911099
33,1576.97,0.65038,2.70241,1.53214,0.56951,0.9424,0.70468,0.66532,0.24757,8210.06,0.75152,0.00905463,0.00905463,0.00905463
34,1624.81,0.65512,2.73093,1.53123,0.56447,0.93923,0.70139,0.68288,0.19675,7792.87,0.74403,0.00899674,0.00899674,0.00899674
35,1672.59,0.65088,2.6928,1.5272,0.54099,0.94625,0.69107,0.66698,0.21703,8015.51,0.74257,0.00893732,0.00893732,0.00893732
36,1720.13,0.64425,2.65805,1.52723,0.58476,0.92951,0.7664,0.7395,0.2133,7636.99,0.74596,0.0088764,0.0088764,0.0088764
37,1767.85,0.65132,2.70372,1.53418,0.56433,0.93461,0.74941,0.72043,0.22224,7849.13,0.74443,0.00881401,0.00881401,0.00881401
38,1815.07,0.64811,2.67277,1.52548,0.55724,0.93449,0.7153,0.6966,0.1887,8041.1,0.73621,0.00875017,0.00875017,0.00875017
39,1863.17,0.64368,2.65442,1.52604,0.55059,0.94178,0.72509,0.70676,0.19351,7996.98,0.73842,0.0086849,0.0086849,0.0086849
40,1910.9,0.64579,2.67193,1.52816,0.55471,0.93942,0.71272,0.6829,0.23005,8007.24,0.74576,0.00861823,0.00861823,0.00861823
41,1958.66,0.64287,2.6592,1.52596,0.55852,0.94363,0.71631,0.69805,0.1915,7988.42,0.73872,0.00855018,0.00855018,0.00855018
42,2006.18,0.64717,2.66952,1.53709,0.55052,0.94601,0.7125,0.68977,0.2105,8006.65,0.74364,0.00848078,0.00848078,0.00848078
43,2053.77,0.64355,2.65703,1.52858,0.55641,0.94285,0.73143,0.70747,0.21166,8091.35,0.74263,0.00841006,0.00841006,0.00841006
44,2101.84,0.64776,2.65806,1.53118,0.56099,0.94394,0.71796,0.69815,0.20004,7897.89,0.74257,0.00833805,0.00833805,0.00833805
45,2148.91,0.64497,2.65208,1.52683,0.55258,0.94104,0.71372,0.69574,0.19165,8079.14,0.73818,0.00826477,0.00826477,0.00826477
46,2196.23,0.64192,2.64691,1.52379,0.54711,0.94428,0.70461,0.68352,0.20375,8288.58,0.73875,0.00819025,0.00819025,0.00819025
47,2244.17,0.64222,2.62152,1.52507,0.54405,0.95127,0.67809,0.65906,0.2008,8459.38,0.73834,0.00811452,0.00811452,0.00811452
48,2291.81,0.6386,2.61475,1.52509,0.54576,0.9434,0.66539,0.62555,0.2522,8209.75,0.75099,0.0080376,0.0080376,0.0080376
49,2339.28,0.63878,2.6145,1.52203,0.54222,0.94611,0.68814,0.67287,0.17965,8345.62,0.7355,0.00795954,0.00795954,0.00795954
50,2386.8,0.63859,2.60688,1.52752,0.55996,0.94174,0.71359,0.69073,0.20761,8174.63,0.74105,0.00788035,0.00788035,0.00788035
51,2434.36,0.63613,2.60513,1.52308,0.55194,0.93632,0.70645,0.6892,0.18995,8183.71,0.73654,0.00780007,0.00780007,0.00780007
52,2481.94,0.63979,2.61573,1.5275,0.56196,0.94245,0.70478,0.68591,0.19575,7993.62,0.73987,0.00771873,0.00771873,0.00771873
53,2529.07,0.63748,2.60628,1.52769,0.55989,0.94,0.71502,0.69707,0.19343,8082.47,0.7403,0.00763637,0.00763637,0.00763637
54,2576.7,0.63855,2.59661,1.53145,0.55483,0.94319,0.71423,0.69802,0.18181,7982.56,0.73729,0.007553,0.007553,0.007553
55,2624.22,0.62954,2.54834,1.52104,0.55089,0.94806,0.71269,0.69656,0.18842,8182.59,0.73742,0.00746868,0.00746868,0.00746868
56,2671.59,0.63898,2.61574,1.52585,0.55326,0.94741,0.73774,0.71907,0.19613,8329.7,0.73833,0.00738341,0.00738341,0.00738341
57,2718.76,0.63374,2.58115,1.52011,0.54961,0.95193,0.6951,0.67737,0.19173,8324.67,0.73585,0.00729725,0.00729725,0.00729725
58,2765.91,0.63283,2.57749,1.52071,0.54528,0.95006,0.71022,0.69395,0.18337,8345.63,0.73434,0.00721023,0.00721023,0.00721023
59,2813.23,0.62918,2.54297,1.52064,0.5461,0.94703,0.70281,0.68442,0.19559,8282.2,0.73693,0.00712237,0.00712237,0.00712237
60,2861.12,0.63277,2.54468,1.51687,0.54645,0.95151,0.70437,0.6874,0.19046,8313.63,0.73529,0.00703371,0.00703371,0.00703371
61,2908.49,0.62383,2.54271,1.518,0.56217,0.94697,0.72389,0.70896,0.17857,8256.22,0.73337,0.00694428,0.00694428,0.00694428
62,2956.16,0.62326,2.51896,1.51284,0.55339,0.95217,0.714,0.70028,0.17648,8373.75,0.73166,0.00685413,0.00685413,0.00685413
63,3003.55,0.62416,2.52981,1.51462,0.54839,0.94976,0.72195,0.70702,0.17962,8398.04,0.73263,0.00676328,0.00676328,0.00676328
64,3051.25,0.62736,2.54306,1.52065,0.55064,0.94831,0.71399,0.69809,0.18845,8361.62,0.73598,0.00667177,0.00667177,0.00667177
65,3098.96,0.62263,2.50411,1.52097,0.5484,0.94873,0.71923,0.69929,0.20228,8425.64,0.73775,0.00657963,0.00657963,0.00657963
66,3146.34,0.62675,2.51477,1.52158,0.54643,0.95241,0.71093,0.6933,0.19083,8434.46,0.73551,0.00648691,0.00648691,0.00648691
67,3193.93,0.62042,2.49507,1.51938,0.54463,0.95003,0.72807,0.71233,0.18639,8513.35,0.73461,0.00639363,0.00639363,0.00639363
68,3242.75,0.62545,2.51139,1.51866,0.54992,0.95011,0.73588,0.71908,0.18726,8480.81,0.73556,0.00629983,0.00629983,0.00629983
69,3293.04,0.61986,2.50348,1.5123,0.54965,0.94957,0.72101,0.70625,0.17895,8582.32,0.73257,0.00620555,0.00620555,0.00620555
70,3343.37,0.61712,2.46591,1.51192,0.55058,0.94949,0.71792,0.70301,0.18123,8549.21,0.7333,0.00611083,0.00611083,0.00611083
71,3392.89,0.61938,2.47507,1.5091,0.54976,0.95304,0.70825,0.69379,0.18246,8605.5,0.73303,0.0060157,0.0060157,0.0060157
72,3441.07,0.61917,2.47519,1.5094,0.55085,0.95348,0.7208,0.70716,0.17814,8572.39,0.73219,0.00592019,0.00592019,0.00592019
73,3489.23,0.61926,2.46756,1.51267,0.54499,0.95505,0.71295,0.69949,0.17632,8635.84,0.73153,0.00582435,0.00582435,0.00582435
74,3537.05,0.61383,2.45885,1.50848,0.5444,0.95253,0.71311,0.69985,0.17443,8641.36,0.73055,0.00572821,0.00572821,0.00572821
75,3585.51,0.61059,2.45969,1.50747,0.54657,0.95523,0.72728,0.71396,0.17021,8603.27,0.72972,0.00563181,0.00563181,0.00563181
76,3633.85,0.61404,2.42831,1.50463,0.54798,0.95712,0.73566,0.72197,0.16912,8587.82,0.7288,0.00553518,0.00553518,0.00553518
77,3682.18,0.61085,2.42844,1.50798,0.54601,0.95529,0.71976,0.70624,0.17046,8667.27,0.72959,0.00543837,0.00543837,0.00543837
78,3730.45,0.61159,2.41716,1.50738,0.54446,0.95219,0.71431,0.70066,0.17104,8690.44,0.73007,0.00534141,0.00534141,0.00534141
79,3778.58,0.60319,2.41446,1.50771,0.54244,0.9558,0.70807,0.69458,0.1721,8750.59,0.73061,0.00524434,0.00524434,0.00524434
80,3826.82,0.60826,2.3943,1.50146,0.54525,0.95612,0.71803,0.70547,0.17165,8687.67,0.72982,0.00514719,0.00514719,0.00514719
81,3875.39,0.60946,2.40477,1.50496,0.54737,0.95682,0.7229,0.71013,0.17024,8693.19,0.72926,0.00505,0.00505,0.00505
82,3923.5,0.60791,2.38864,1.50261,0.54865,0.95569,0.72347,0.71116,0.16835,8724.09,0.72795,0.00495281,0.00495281,0.00495281
83,3971.75,0.60852,2.40755,1.50704,0.54849,0.9552,0.72007,0.70781,0.16752,8746.71,0.72756,0.00485566,0.00485566,0.00485566
84,4019.96,0.60357,2.38109,1.50167,0.54781,0.95544,0.72066,0.70824,0.16713,8748.36,0.72701,0.00475859,0.00475859,0.00475859
85,4068.88,0.60008,2.36688,1.49939,0.55236,0.95271,0.73855,0.72586,0.16635,8718.01,0.72706,0.00466163,0.00466163,0.00466163
86,4117.42,0.59867,2.36738,1.50143,0.55335,0.9515,0.74636,0.73351,0.16665,8690.96,0.72713,0.00456482,0.00456482,0.00456482
87,4165.61,0.59785,2.36233,1.49852,0.54889,0.9528,0.73958,0.72735,0.16452,8762.14,0.72682,0.00446819,0.00446819,0.00446819
88,4214.12,0.59592,2.34646,1.49851,0.54732,0.9541,0.73608,0.72427,0.16404,8809.6,0.72666,0.00437179,0.00437179,0.00437179
89,4262.4,0.59936,2.34268,1.50266,0.54557,0.9551,0.73107,0.71927,0.16347,8838.84,0.72672,0.00427565,0.00427565,0.00427565
90,4311.49,0.60269,2.35663,1.50547,0.5443,0.95446,0.72801,0.71586,0.1623,8887.4,0.72673,0.00417981,0.00417981,0.00417981
91,4359.7,0.59278,2.3238,1.50061,0.5454,0.95454,0.72621,0.71424,0.16248,8906.16,0.72666,0.0040843,0.0040843,0.0040843
92,4407.86,0.59743,2.33904,1.50013,0.54761,0.95342,0.72795,0.71593,0.16359,8894.58,0.72703,0.00398917,0.00398917,0.00398917
93,4456.58,0.59709,2.33323,1.50195,0.54789,0.95176,0.7334,0.72137,0.16365,8873.61,0.7273,0.00389445,0.00389445,0.00389445
94,4504.82,0.59492,2.33368,1.49769,0.54914,0.95163,0.73318,0.72072,0.16502,8881.33,0.72741,0.00380017,0.00380017,0.00380017
95,4553.4,0.5983,2.33961,1.49777,0.54781,0.95265,0.73117,0.7191,0.16429,8871.95,0.72717,0.00370637,0.00370637,0.00370637
96,4601.73,0.59412,2.2975,1.49309,0.54929,0.95372,0.73813,0.72593,0.16318,8845.46,0.72665,0.00361309,0.00361309,0.00361309
97,4650.41,0.59165,2.32169,1.49661,0.55011,0.95228,0.7382,0.72621,0.16299,8850.42,0.72655,0.00352037,0.00352037,0.00352037
98,4698.84,0.59341,2.31805,1.49953,0.54969,0.95178,0.7366,0.72483,0.16265,8869.73,0.72651,0.00342823,0.00342823,0.00342823
99,4747.44,0.59112,2.29222,1.49421,0.54995,0.95164,0.73634,0.7246,0.16232,8884.63,0.7263,0.00333672,0.00333672,0.00333672
100,4795.62,0.59101,2.28754,1.49759,0.55118,0.95137,0.73533,0.72356,0.16197,8889.6,0.72624,0.00324587,0.00324587,0.00324587
101,4843.81,0.58607,2.25062,1.48987,0.55117,0.95216,0.73462,0.72294,0.16173,8890.7,0.72607,0.00315572,0.00315572,0.00315572
102,4883.79,0.58424,2.25843,1.49123,0.55153,0.95176,0.73454,0.72309,0.16194,8901.74,0.72601,0.00306629,0.00306629,0.00306629
